COMPANY_CODE,PART_NO,YEAR,ANT_0,ANT_1,ANT_2,ANT_3,ANT_4,ANT_5,ANT_6,ANT_7,ANT_8,ANT_9,ANT_10,ANT_11,ANT_12,ANT_13,CON_0,CON_1,CON_2,CON_3,CON_4,CON_5,CON_6,CON_7,CON_8,CON_9,CON_10,CON_11,CON_12,CON_13,SUPPORT,ANT_COUNT,COMBO_COUNT,PERCENT
95018-3,KJ20D,2020,KJ20D, , , , , , , , , , , , , ,KJ16D, , , , , , , , , , , , , ,0.2702702702702703,37,10,27.027027027027028
95018-3,KJ20D,2020,KJ20D, , , , , , , , , , , , , ,GKM20-40, , , , , , , , , , , , , ,0.13513513513513514,37,5,13.513513513513514
95018-3,KJ20D,2020,KJ20D, PL-02, , , , , , , , , , , , ,KQ2L08-U02A, , , , , , , , , , , , , ,0.10810810810810811,5,4,80.0
95018-3,KJ20D,2020,KJ20D, KQ2L12-U04A, , , , , , , , , , , , ,KQ2L08-U02A, , , , , , , , , , , , , ,0.10810810810810811,5,4,80.0
95018-3,KJ20D,2020,KJ20D, KQ2L08-U02A, , , , , , , , , , , , ,KQ2L12-U04A, , , , , , , , , , , , , ,0.10810810810810811,7,4,57.14285714285714
95018-3,KJ20D,2020,KJ20D, , , , , , , , , , , , , ,KQ2L08-U02A, PL-02, , , , , , , , , , , , ,0.10810810810810811,37,4,10.81081081081081
95018-3,KJ20D,2020,KJ20D, KQ2L08-U02A, , , , , , , , , , , , ,PL-02, , , , , , , , , , , , , ,0.10810810810810811,7,4,57.14285714285714
95018-3,KJ20D,2020,KJ20D, , , , , , , , , , , , , ,KQ2T12-00A, TU1065BU-20, , , , , , , , , , , , ,0.10810810810810811,37,4,10.81081081081081
95018-3,KJ20D,2020,TU1065BU-20, KJ20D, , , , , , , , , , , , ,KQ2T12-00A, , , , , , , , , , , , , ,0.10810810810810811,5,4,80.0
95018-3,KJ20D,2020,KQ2T12-00A, KJ20D, , , , , , , , , , , , ,TU1065BU-20, , , , , , , , , , , , , ,0.10810810810810811,6,4,66.66666666666666
95018-3,KJ20D,2020,KJ20D, , , , , , , , , , , , , ,TU1065BU-20, KQ2T10-00A, , , , , , , , , , , , ,0.10810810810810811,37,4,10.81081081081081
95018-3,KJ20D,2020,KJ20D, , , , , , , , , , , , , ,KQ2L08-U02A, KQ2L12-U04A, , , , , , , , , , , , ,0.10810810810810811,37,4,10.81081081081081
95018-3,KJ20D,2020,KJ20D, KQ2L12-U04A, , , , , , , , , , , , ,AN20-02, , , , , , , , , , , , , ,0.10810810810810811,5,4,80.0
95018-3,KJ20D,2020,KJ20D, Y400-A, TU1208BU-20, AN30-03, , , , , , , , , , ,KQ2T12-00A, , , , , , , , , , , , , ,0.10810810810810811,4,4,100.0
95018-3,KJ20D,2020,KJ20D, , , , , , , , , , , , , ,KQ2T12-00A, AN40-04, , , , , , , , , , , , ,0.10810810810810811,37,4,10.81081081081081
95018-3,KJ20D,2020,KJ20D, AN40-04, , , , , , , , , , , , ,KQ2T12-00A, , , , , , , , , , , , , ,0.10810810810810811,5,4,80.0
95018-3,KJ20D,2020,KQ2T12-00A, KJ20D, , , , , , , , , , , , ,AN40-04, , , , , , , , , , , , , ,0.10810810810810811,6,4,66.66666666666666
95018-3,KJ20D,2020,KJ20D, , , , , , , , , , , , , ,AS3201F-U03-08A, KQ2L08-U02A, , , , , , , , , , , , ,0.10810810810810811,37,4,10.81081081081081
95018-3,KJ20D,2020,KJ20D, AS3201F-U03-08A, , , , , , , , , , , , ,KQ2L08-U02A, , , , , , , , , , , , , ,0.10810810810810811,5,4,80.0
95018-3,KJ20D,2020,KJ20D, KQ2L08-U02A, , , , , , , , , , , , ,AS3201F-U03-08A, , , , , , , , , , , , , ,0.10810810810810811,7,4,57.14285714285714
95018-3,KJ20D,2020,KJ20D, , , , , , , , , , , , , ,KQ2L12-U04A, AN20-02, , , , , , , , , , , , ,0.10810810810810811,37,4,10.81081081081081
95018-3,KJ20D,2020,KJ20D, AN20-02, , , , , , , , , , , , ,KQ2L12-U04A, , , , , , , , , , , , , ,0.10810810810810811,5,4,80.0
95018-3,KJ20D,2020,KJ20D, KQ2T10-00A, , , , , , , , , , , , ,TU1065BU-20, , , , , , , , , , , , , ,0.10810810810810811,4,4,100.0
95018-3,KJ20D,2020,KJ20D, Y400-A, TU1208BU-20, KQ2T12-00A, , , , , , , , , , ,AN30-03, , , , , , , , , , , , , ,0.10810810810810811,4,4,100.0
95018-3,KJ20D,2020,TU1065BU-20, KJ20D, , , , , , , , , , , , ,KQ2T10-00A, , , , , , , , , , , , , ,0.10810810810810811,5,4,80.0
95018-3,KJ20D,2020,KJ20D, AN30-03, , , , , , , , , , , , ,KQ2T12-00A, Y400-A, TU1208BU-20, , , , , , , , , , , ,0.10810810810810811,4,4,100.0
95018-3,KJ20D,2020,KJ20D, KQ2T12-00A, , , , , , , , , , , , ,Y400-A, TU1208BU-20, AN30-03, , , , , , , , , , , ,0.10810810810810811,6,4,66.66666666666666
95018-3,KJ20D,2020,KJ20D, TU1208BU-20, , , , , , , , , , , , ,KQ2T12-00A, Y400-A, AN30-03, , , , , , , , , , , ,0.10810810810810811,4,4,100.0
95018-3,KJ20D,2020,KJ20D, Y400-A, , , , , , , , , , , , ,KQ2T12-00A, TU1208BU-20, AN30-03, , , , , , , , , , , ,0.10810810810810811,4,4,100.0
95018-3,KJ20D,2020,KJ20D, AN30-03, KQ2T12-00A, , , , , , , , , , , ,Y400-A, TU1208BU-20, , , , , , , , , , , , ,0.10810810810810811,4,4,100.0
95018-3,KJ20D,2020,KJ20D, TU1208BU-20, AN30-03, , , , , , , , , , , ,KQ2T12-00A, Y400-A, , , , , , , , , , , , ,0.10810810810810811,4,4,100.0
95018-3,KJ20D,2020,KJ20D, TU1208BU-20, KQ2T12-00A, , , , , , , , , , , ,Y400-A, AN30-03, , , , , , , , , , , , ,0.10810810810810811,4,4,100.0
95018-3,KJ20D,2020,KJ20D, Y400-A, AN30-03, , , , , , , , , , , ,KQ2T12-00A, TU1208BU-20, , , , , , , , , , , , ,0.10810810810810811,4,4,100.0
95018-3,KJ20D,2020,KJ20D, Y400-A, KQ2T12-00A, , , , , , , , , , , ,TU1208BU-20, AN30-03, , , , , , , , , , , , ,0.10810810810810811,4,4,100.0
